target_id,identification,round,target,interface,p_id,p_type,p_rank,name,uid,model,e,nclash,threshold,fnat,fnonnat,f1,dockq,lrms,irms,srms,ia,dL,thetaL,nchain,(seqid//),fIR_L,fIR_R,fOP_L,fOP_R,mrms_L,mrms_R,classification,main_classification,stars,clashes,low_id,md5
T187.1,T187_P01.M01,53,187,1,P01,P,1,LZERD,249,1,1,10,126,0.0000,1.0000,0.0000,0.0021,121.2608,40.8325,44.1500,1529.3,119.05,32.47,0,(),0.0458,0.0845,0.7143,0.5385,7.2183,12.8308,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P01.M02,53,187,1,P01,P,1,LZERD,249,2,1,11,126,0.0000,1.0000,0.0000,0.0034,99.3250,28.2537,29.9734,2478.1,77.01,173.71,0,(),0.0076,0.2254,0.9730,0.4286,7.2372,12.6862,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P01.M03,53,187,1,P01,P,1,LZERD,249,3,1,6,126,0.0000,1.0000,0.0000,0.0023,115.3637,40.0399,43.2663,1844.2,112.83,35.90,0,(),0.0534,0.0986,0.6667,0.5625,5.9851,12.9203,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P01.M04,53,187,1,P01,P,1,LZERD,249,4,1,64,126,0.0135,0.9897,0.0113,0.0086,90.5526,23.6964,25.0423,11389.6,64.78,176.86,0,(),0.1145,0.6479,0.8707,0.2923,6.0595,13.2204,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P01.M05,53,187,1,P01,P,1,LZERD,249,5,1,38,126,0.0000,1.0000,0.0000,0.0036,102.9056,23.4217,25.0125,3473.3,80.64,132.75,0,(),0.3206,0.1972,0.2364,0.4615,7.1593,12.8123,incorrect,incorrect,0,0,0,(null)
T187.1,T187_P02.M01,53,187,1,P02,P,2,Kihara,185,1,1,530,126,0.0000,1.0000,0.0000,0.0112,59.4548,12.7874,15.8876,8344.6,39.82,76.20,0,(),0.0534,0.5915,0.9524,0.2881,7.3635,26.2085,incorrect,incorrect,0,1,0,(null)
T187.1,T187_P02.M02,53,187,1,P02,P,2,Kihara,185,2,1,129,126,0.0586,0.9623,0.0462,0.0454,54.3852,6.3106,6.8215,10771.3,33.25,74.76,0,(),0.4809,0.6620,0.6062,0.3472,7.3991,18.6678,incorrect,incorrect,0,1,0,(null)
T187.1,T187_P02.M03,53,187,1,P02,P,2,Kihara,185,3,1,134,126,0.0135,0.9912,0.0106,0.0287,40.3913,8.4151,9.7733,10952.3,21.67,52.37,0,(),0.2214,0.6761,0.8242,0.3766,7.3913,23.6246,incorrect,incorrect,0,1,0,(null)
T187.1,T187_P02.M04,53,187,1,P02,P,2,Kihara,185,4,1,523,126,0.0000,1.0000,0.0000,0.0119,56.8726,12.7006,15.9232,7963.3,40.85,66.73,0,(),0.0534,0.5211,0.9507,0.3148,7.3336,26.0566,incorrect,incorrect,0,1,0,(null)
T187.1,T187_P02.M05,53,187,1,P02,P,2,Kihara,185,5,1,134,126,0.0586,0.9619,0.0462,0.0456,53.9847,6.3091,6.8088,10770.1,32.99,74.13,0,(),0.4809,0.6620,0.6038,0.3472,7.4008,18.6531,incorrect,incorrect,0,1,0,(null)
