4
61 312 0 /local/master/Evaluation/R61/T312/INT.1
61 314 0 /local/master/Evaluation/R61/T314/INT.1
61 315 0 /local/master/Evaluation/R61/T315/INT.1
61 316 0 /local/master/Evaluation/R61/T316/INT.1
target_id,identification,round,target,interface,p_id,p_type,p_rank,name,uid,model,e,nclash,threshold,fnat,fnonnat,f1,dockq,lrms,irms,srms,ia,dL,thetaL,nchain,(seqid//),fIR_L,fIR_R,fOP_L,fOP_R,mrms_L,mrms_R,classification,main_classification,stars,clashes,low_id,md5
T312.1,T312_P01.M01,61,312,1,P01,P,1,Venclovas,387,1,1,12,89,0.0333,0.9806,0.0241,0.0576,22.2972,13.1152,13.5527,2608.5,9.76,123.86,0,(),0.6800,0.7857,0.5952,0.2903,1.0434,4.3665,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P01.M02,61,312,1,P01,P,1,Venclovas,387,2,1,11,89,0.0000,0.9565,0.0000,0.0664,18.2368,10.2929,11.1667,2558.5,4.89,160.97,0,(),0.4800,0.7500,0.6842,0.3226,1.2091,4.2195,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P01.M03,61,312,1,P01,P,1,Venclovas,387,3,1,5,89,0.0333,0.9697,0.0314,0.0698,19.9155,9.9400,10.8697,1904.9,8.15,109.97,0,(),0.6400,0.5714,0.5152,0.2000,1.0899,4.1817,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P01.M04,61,312,1,P01,P,1,Venclovas,387,4,1,4,89,0.1333,0.8689,0.1320,0.0990,20.2460,12.5257,12.9079,1649.8,2.99,138.01,0,(),0.7600,0.7143,0.2400,0.1304,1.0145,4.8149,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P01.M05,61,312,1,P01,P,1,Venclovas,387,5,1,59,89,0.0667,0.9560,0.0531,0.1440,12.3457,7.0506,7.8800,2003.9,5.26,85.44,0,(),0.5600,0.6786,0.5625,0.3214,1.1916,4.1927,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P01.M06,61,312,1,P01,P,1,Venclovas,387,6,1,7,89,0.0000,1.0000,0.0000,0.0372,25.1315,15.6647,16.2888,1748.1,10.05,179.65,0,(),0.3200,0.6429,0.7241,0.1818,1.1632,4.6832,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P01.M07,61,312,1,P01,P,1,Venclovas,387,7,1,13,89,0.1167,0.9271,0.0899,0.1067,17.7846,11.3864,11.6490,2769.9,4.75,115.98,0,(),0.8400,0.8214,0.4750,0.3429,1.1114,4.5432,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P01.M08,61,312,1,P01,P,1,Venclovas,387,8,1,6,89,0.0167,0.9851,0.0159,0.0949,15.3512,8.1147,8.8454,2025.5,6.15,92.19,0,(),0.4000,0.8214,0.7059,0.1786,1.1751,4.3042,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P01.M09,61,312,1,P01,P,1,Venclovas,387,9,1,2,89,0.0167,0.9880,0.0141,0.0699,18.5211,10.8630,11.4465,2093.6,6.66,126.04,0,(),0.5200,0.6786,0.6286,0.3448,1.8157,3.8147,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P01.M10,61,312,1,P01,P,1,Venclovas,387,10,1,6,89,0.0000,0.9104,0.0000,0.0534,20.4914,12.8095,13.6115,2196.4,5.24,128.86,0,(),0.0400,0.7857,0.9655,0.2667,0.8538,4.5076,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M01,61,312,1,P03,P,3,LZERD,249,1,1,25,89,0.0000,1.0000,0.0000,0.0406,24.2154,13.4719,14.1765,1647.8,12.82,134.43,0,(),0.2800,0.5357,0.7200,0.4643,0.9686,4.1960,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M02,61,312,1,P03,P,3,LZERD,249,2,1,25,89,0.0000,1.0000,0.0000,0.0431,23.4141,13.1331,13.5326,2049.7,11.02,130.02,0,(),0.4400,0.6071,0.6765,0.3200,1.0921,4.1144,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M03,61,312,1,P03,P,3,LZERD,249,3,1,15,89,0.0000,1.0000,0.0000,0.0380,25.3537,13.1346,13.9777,1320.6,16.35,124.49,0,(),0.0400,0.4643,0.9412,0.4091,0.8760,4.4876,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M04,61,312,1,P03,P,3,LZERD,249,4,1,9,89,0.0000,0.9500,0.0000,0.0412,23.7984,14.5756,15.3501,1468.7,9.73,168.99,0,(),0.0400,0.6429,0.9474,0.1818,0.8496,4.2320,incorrect,incorrect,0,0,0,(null)
T312.1,T312_P03.M05,61,312,1,P03,P,3,LZERD,249,5,1,18,89,0.0167,0.9455,0.0259,0.0567,21.4168,11.4039,11.7746,1702.7,13.64,166.91,0,(),0.2400,0.6429,0.7600,0.3077,0.9373,4.4023,incorrect,incorrect,0,0,0,(null)
