target_id,identification,round,target,interface,p_id,p_type,p_rank,name,uid,model,e,nclash,threshold,fnat,fnonnat,f1,dockq,lrms,irms,srms,ia,dL,thetaL,nchain,(seqid//),fIR_L,fIR_R,fOP_L,fOP_R,mrms_L,mrms_R,classification,main_classification,stars,clashes,low_id,md5
T235.1,T235_P01.M01,56,235,1,P01,P,1,Brysbaert,660,1,1,14,66,0.2078,0.7681,0.2193,0.2338,10.6854,4.3623,4.6591,2144.7,3.59,33.90,0,(),0.7188,0.7576,0.2333,0.1071,0.7705,0.6506,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M02,56,235,1,P01,P,1,Brysbaert,660,2,1,16,66,0.2857,0.7027,0.2914,0.2806,9.4031,4.3515,4.6069,2322.8,2.01,31.75,0,(),0.7188,0.9394,0.2333,0.0882,0.6094,1.3849,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M03,56,235,1,P01,P,1,Brysbaert,660,3,1,12,66,0.0779,0.9333,0.0721,0.0562,36.5326,7.4351,7.8165,2456.3,20.64,146.57,0,(),0.6250,0.7879,0.3939,0.1613,3.3467,20.7748,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M04,56,235,1,P01,P,1,Brysbaert,660,4,1,12,66,0.6234,0.2615,0.6761,0.6323,5.4556,1.3141,2.1551,2103.9,3.85,12.40,0,(),0.7500,0.9394,0.1429,0.0606,0.7578,0.6550,medium,medium,2,0,0,(null)
T235.1,T235_P01.M05,56,235,1,P01,P,1,Brysbaert,660,5,1,8,66,0.4416,0.4237,0.5002,0.4843,5.2647,2.3565,2.9173,1995.1,1.10,17.20,0,(),0.7500,0.8485,0.1111,0.0968,0.7526,0.7133,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M06,56,235,1,P01,P,1,Brysbaert,660,6,1,9,66,0.0000,1.0000,0.0000,0.0279,29.9273,15.6118,16.3862,2452.0,11.75,122.82,0,(),0.0000,0.7273,1.0000,0.4146,0.7792,0.6877,incorrect,incorrect,0,0,0,(null)
T235.1,T235_P01.M07,56,235,1,P01,P,1,Brysbaert,660,7,1,53,66,0.2338,0.7286,0.2511,0.2607,9.5199,4.3874,4.7002,2273.9,2.02,31.89,0,(),0.7188,0.8182,0.1786,0.1290,0.5799,1.3462,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M08,56,235,1,P01,P,1,Brysbaert,660,8,1,40,66,0.2987,0.6471,0.3238,0.3042,8.9280,3.7448,4.1540,2211.7,1.44,29.92,0,(),0.6562,0.8788,0.2222,0.0938,0.7616,0.7543,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M09,56,235,1,P01,P,1,Brysbaert,660,9,1,23,66,0.2597,0.6866,0.2840,0.2923,8.7420,3.8647,4.2790,2030.2,0.97,29.66,0,(),0.6562,0.8182,0.2500,0.1000,0.7729,0.7071,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M10,56,235,1,P01,P,1,Brysbaert,660,10,1,22,66,0.3117,0.6094,0.3471,0.3533,7.2945,3.2886,3.7435,2175.3,1.38,24.23,0,(),0.7500,0.8485,0.1724,0.1250,0.7586,0.7240,acceptable,acceptable,1,0,0,(null)
T235.1,T235_P01.M100,56,235,1,P01,P,1,Brysbaert,660,100,0,547,66,0.5325,0.8285,0.2589,0.3877,9.0479,3.4215,3.8767,3001.4,4.58,28.44,0,(),0.7812,0.8485,0.4318,0.3333,1.0380,1.2223,acceptable,acceptable,1,1,0,(null)
T235.1,T235_P01.M11,56,235,1,P01,P,1,Brysbaert,660,11,0,25,66,0.5714,0.3182,0.6216,0.5907,5.2473,1.5707,2.3105,2120.1,3.39,12.88,0,(),0.8125,0.7879,0.1034,0.2121,0.7828,0.6700,medium,medium,2,0,0,(null)
T235.1,T235_P01.M12,56,235,1,P01,P,1,Brysbaert,660,12,0,19,66,0.3377,0.6029,0.3651,0.3361,8.1657,3.5683,3.9875,2119.4,1.20,27.46,0,(),0.6562,0.8485,0.1923,0.1250,0.7948,0.7467,acceptable,acceptable,1,0,0,(null)
